Libellé;Indice des commandes reçues en valeur - Équipements électriques et électroniques (NAF rév. 2, niveau A17, poste C3) - Pondération - Série arrêtée;Indice des commandes reçues en valeur - Matériel de transport (NAF rév. 2, niveau A17, poste C4) - Pondération - Série arrêtée;Indice des commandes reçues en valeur - Autres produits manufacturés (NAF rév. 2, niveau A17, poste C5) - Pondération - Série arrêtée;Indice des commandes reçues en valeur - Équipements électriques et électroniques (NAF rév. 2, niveau A17, poste C3) - Moyenne annuelle - Série arrêtée;Indice des commandes reçues en valeur - Matériel de transport (NAF rév. 2, niveau A17, poste C4) - Moyenne annuelle - Série arrêtée;Indice des commandes reçues en valeur - Autres produits manufacturés (NAF rév. 2, niveau A17, poste C5) - Moyenne annuelle - Série arrêtée
IdBank;001561497;001561498;001561499;001561520;001561521;001561522
Année
2012;;;;78,9;71,1;123,5
2011;;;;86,1;74,1;120,0
2010;;;;78,9;70,2;109,7
2009;77 805,7;113 578,9;176 167,8;76,6;70,3;96,4
2008;;;;99,1;89,1;114,1
2007;;;;108,2;106,3;113,8
2006;;;;104,3;93,0;107,5
2005;;;;99,8;100,0;100,0
2004;;;;100,9;100,7;98,1
2003;;;;94,4;85,5;95,2
2002;;;;86,3;88,9;97,1
2001;;;;99,2;94,7;97,1
2000;;;;113,1;85,8;95,5
1999;;;;104,2;74,4;87,7
1998;;;;98,9;68,7;86,9
